token,octave,step,step_index,raw_radius,plot_radius,angle_deg,x,y,color
5.A'-,5,A,10,1.000000000000,30.000000000000,0.000000000000,640.000000000000,570.000000000000,#e57d22
5.B'-,5,B,11,1.059463094359,31.803713862232,36.001658078370,635.729204010832,551.305501440271,#e57d22
5.C'-,5,C,12,1.122462048309,33.714682132051,74.144086148145,619.211496029875,537.568100084071,#e57d22
6.1'-,6,1,1,1.189207115003,35.739282488416,114.554581017326,595.148187333477,537.492770445557,#2e9d55
6.2'-,6,2,2,1.259921049895,37.884271846811,135.961294986672,582.766119339024,543.664970144182,#2e9d55
6.3'-,6,3,3,1.334839854170,40.156808909824,158.640918408700,572.601314961883,555.374417644418,#2e9d55
6.4'-,6,4,4,1.414213562373,42.564478058651,182.669142418305,567.481700141619,571.982162848546,#2e9d55
6.5'-,6,5,5,1.498307076877,45.115314665259,208.126158979480,570.212274850415,591.268016944851,#2e9d55
6.6'-,6,6,6,1.587401051968,47.817831909702,235.096928518538,582.639122463714,609.216417850040,#2e9d55
6.7'-,6,7,7,1.681792830507,50.681049192059,263.671463471640,604.413461090302,620.372207914864,#2e9d55
6.8'-,6,8,8,1.781797436281,53.714522233847,293.945128692931,631.800660214494,619.091558470094,#2e9d55
6.9'-,6,9,9,1.887748625363,56.928374969356,326.018959725877,657.206293368682,601.818324013712,#2e9d55
6.A'-,6,A,10,2.000000000000,60.333333333333,0.000000000000,670.333333333333,570.000000000000,#2e9d55
6.B'-,6,B,11,2.118926188719,63.940761057797,36.001658078370,661.728074683051,532.415066659165,#2e9d55
6.C'-,6,C,12,2.244924096619,67.762697597435,74.144086148145,628.514065102188,504.815549560701,#2e9d55
7.1'-,7,1,1,2.378414230005,71.811898310165,114.554581017326,580.157854700198,504.682352286576,#008b8b
7.2'-,7,2,2,2.519842099790,76.101877026956,135.961294986672,555.292615220139,517.098225572537,#008b8b
7.3'-,7,3,3,2.669679708340,80.646951152982,158.640918408700,534.892191204046,540.627431366292,#008b8b
7.4'-,7,4,4,2.828427124746,85.462289450634,182.669142418305,524.630428583223,573.979848522219,#008b8b
7.5'-,7,5,5,2.996614153753,90.563962663852,208.126158979480,530.130579124580,612.693172081781,#008b8b
7.6'-,7,6,6,3.174802103936,95.968997152737,235.096928518538,555.087514981134,648.706209434548,#008b8b
7.7'-,7,7,7,3.363585661015,101.695431717451,263.671463471640,598.790179065253,671.075717889163,#008b8b
7.8'-,7,8,8,3.563594872561,107.762377801028,293.945128692931,653.736607618299,668.487761794927,#008b8b
7.9'-,7,9,9,3.775497250727,114.190083272045,326.018959725877,704.688994260525,633.822954206201,#008b8b
7.A'-,7,A,10,4.000000000000,121.000000000000,0.000000000000,731.000000000000,570.000000000000,#008b8b
7.B'-,7,B,11,4.237852377437,128.214855448928,36.001658078370,713.725816027489,494.634197096953,#008b8b
7.C'-,7,C,12,4.489848193237,135.858728528204,74.144086148145,647.119203246815,439.310448513962,#008b8b
8.1'-,8,1,1,4.756828460011,143.957129953663,114.554581017326,550.177189433639,439.061515968615,#2470c7
8.2'-,8,2,2,5.039684199579,152.537087387245,135.961294986672,500.345606982369,463.964736429249,#2470c7
8.3'-,8,3,3,5.339359416680,161.627235639297,158.640918408700,459.473943688371,511.133458810040,#2470c7
8.4'-,8,4,4,5.656854249492,171.257912234602,182.669142418305,438.927885466430,577.975219869564,#2470c7
8.5'-,8,5,5,5.993228307507,181.461258661037,208.126158979480,449.967187672909,655.543482355642,#2470c7
8.6'-,8,6,6,6.349604207873,192.271327638808,235.096928518538,499.984300015972,727.685792603564,#2470c7
8.7'-,8,7,7,6.727171322030,203.724196768235,263.671463471640,587.543615015156,772.482737837759,#2470c7
8.8'-,8,8,8,7.127189745123,215.858088935389,293.945128692931,697.608502425909,767.280168444595,#2470c7
8.9'-,8,9,9,7.550994501454,228.713499877424,326.018959725877,799.654396044212,697.832214591181,#2470c7
8.A'-,8,A,10,8.000000000000,242.333333333333,0.000000000000,852.333333333333,570.000000000000,#2470c7
8.B'-,8,B,11,8.475704754874,256.763044231189,36.001658078370,817.721298716365,419.072457972529,#2470c7
8.C'-,8,C,12,8.979696386475,272.050790389741,74.144086148145,684.329479536070,308.300246420483,#2470c7
9.1'-,9,1,1,9.513656920022,288.247593240660,114.554581017326,490.215858900522,307.819843332693,#7b2cbf
9.2'-,9,2,2,10.079368399159,305.407508107823,135.961294986672,390.451590506827,357.697758142671,#7b2cbf
9.3'-,9,3,3,10.678718833360,323.587804611928,158.640918408700,308.637448657021,452.145513697534,#7b2cbf
9.4'-,9,4,4,11.313708498985,342.849157802538,182.669142418305,267.522799232845,585.965962564255,#7b2cbf
9.5'-,9,5,5,11.986456615013,363.255850655408,208.126158979480,289.640404769568,741.244102903364,#7b2cbf
9.6'-,9,6,6,12.699208415746,384.875988610950,235.096928518538,389.777870085649,885.644958941597,#7b2cbf
9.7'-,9,7,7,13.454342644059,407.781726869803,263.671463471640,565.050486914961,975.296777734954,#7b2cbf
9.8'-,9,8,8,14.254379490245,432.049511204111,293.945128692931,785.352292041128,964.864981743931,#7b2cbf
9.9'-,9,9,9,15.101989002907,457.760333088182,326.018959725877,989.585199611586,825.850735361139,#7b2cbf
9.A'-,9,A,10,16.000000000000,485.000000000000,0.000000000000,1095.000000000000,570.000000000000,#7b2cbf
