instrument_name,manifest_event_count,has_passport_json,has_passport_md,summary_event_count,passport_events_len,event_morphology_event_count,cluster_lineage_event_count,missing_event_assets_count,status,issues
Chinese-cymbal,2,1,1,2,2,2,2,0,OK,
Chinese-hand-cymbals,4,1,1,4,4,4,4,0,OK,
Thai-gong,3,1,1,3,3,3,3,0,OK,
agogo-bells,2,1,1,2,2,2,2,0,OK,
banana-shaker,2,1,1,2,2,2,2,0,OK,
bass-drum,18,1,1,18,18,18,18,0,OK,
bell-tree,3,1,1,3,3,3,3,0,OK,
cabasa,2,1,1,2,2,2,2,0,OK,
castanets,4,1,1,4,4,4,4,0,OK,
clash-cymbals,7,1,1,7,7,7,7,0,OK,
cowbell,4,1,1,4,4,4,4,0,OK,
djembe,3,1,1,3,3,3,3,0,OK,
djundjun,4,1,1,4,4,4,4,0,OK,
flexatone,2,1,1,2,2,2,2,0,OK,
guiro,4,1,1,4,4,4,4,0,OK,
lemon-shaker,3,1,1,3,3,3,3,0,OK,
motor-horn,1,1,1,1,1,1,1,0,OK,
ratchet,2,1,1,2,2,2,2,0,OK,
sheeps-toenails,2,1,1,2,2,2,2,0,OK,
sizzle-cymbal,1,1,1,1,1,1,1,0,OK,
sleigh-bells,4,1,1,4,4,4,4,0,OK,
snare-drum,12,1,1,12,12,12,12,0,OK,
spring-coil,5,1,1,5,5,5,5,0,OK,
squeaker,1,1,1,1,1,1,1,0,OK,
strawberry-shaker,2,1,1,2,2,2,2,0,OK,
surdo,4,1,1,4,4,4,4,0,OK,
suspended-cymbal,4,1,1,4,4,4,4,0,OK,
swanee-whistle,3,1,1,3,3,3,3,0,OK,
tam-tam,4,1,1,4,4,4,4,0,OK,
tambourine,11,1,1,11,11,11,11,0,OK,
tenor-drum,2,1,1,2,2,2,2,0,OK,
tom-toms,2,1,1,2,2,2,2,0,OK,
train-whistle,3,1,1,3,3,3,3,0,OK,
triangle,5,1,1,5,5,5,5,0,OK,
vibraslap,3,1,1,3,3,3,3,0,OK,
washboard,3,1,1,3,3,3,3,0,OK,
whip,4,1,1,4,4,4,4,0,OK,
wind-chimes,1,1,1,1,1,1,1,0,OK,
woodblock,2,1,1,2,2,2,2,0,OK,
