instrument,note_count,full_fix,partial_fix,no_fix,max_root_error_semitones,max_tail_box_ratio,max_tail_dense_ratio
Bass_guitar,92,0,0,92,0.0,1.13,2.25
RealPiano_1_1,88,0,0,88,0.0,0.805,1.299
banjo,74,0,0,74,0.0,0.296,0.022
bass_clarinet,944,0,0,944,0.0,13.0,0.4
bassoon,720,0,0,720,0.0,4.0,4.643
cello,140,0,0,140,0.0,1.767,3.923
cello2,133,0,0,133,0.0,2.571,4.55
clarinet,846,0,0,846,0.0,7.0,1.364
contrabassoon,710,0,0,710,0.0,9.0,0.531
cor_anglais,691,0,0,691,0.0,8.0,1.444
double-bass2,92,0,0,92,0.0,0.818,0.026
double_bass,852,0,0,852,0.0,2.0,0.405
flute,878,0,0,878,0.0,6.0,0.769
french_horn,652,0,0,652,0.0,4.0,0.576
guitar,106,0,0,106,0.0,0.043,0.027
guitar2,126,0,0,126,0.0,1.109,0.066
mandolin,80,0,0,80,0.0,0.065,0.06
oboe,596,0,0,596,0.0,6.0,0.492
piano_midi1,88,0,0,88,0.0,1.065,0.0
saxophone,732,0,0,732,0.0,4.0,0.778
viola,75,0,0,75,0.0,1.247,1.398
violin,225,0,0,225,0.0,1.818,2.092
violin2,100,0,0,100,0.0,1.372,0.686
