instrument,note_dir,expected_note,root_token,root_hz,root_error_semitones,spiral12_new_schema,spiral12_rows,spiral12_expected_points,note_box_new_schema,note_box_rows,html_manual_xy,html_visible_rescale,xy_ratio,frames,chain_first,chain_mid,chain_last,box_first,box_mid,box_last,dense_first,dense_mid,dense_last,tail_box_ratio,tail_dense_ratio,fix_status,reasons
bass_clarinet,bass-clarinet_A2_025_forte_normal,7.A-,7.A'a2,108.98754,0,1,772,241,1,19,1,1,1.177,29,69,93,30,11,19,21,36,40,0,1.4,0.0,NO_FIX,looks consistent
bass_clarinet,bass-clarinet_A2_025_fortissimo_normal,7.A-,7.A'a3,108.636086,0,1,648,216,1,14,1,1,1.149,27,66,82,17,13,16,12,36,36,0,0.828,0.0,NO_FIX,looks consistent
bass_clarinet,bass-clarinet_A2_025_mezzo-forte_staccato,7.A-,7.A'i1,110.647612,0,1,713,16,1,2,1,1,1.47,5,2,3,6,0,2,2,4,8,0,2.0,0.0,NO_FIX,looks consistent
bass_clarinet,bass-clarinet_A2_025_pianissimo_normal,7.A-,7.A'-,109.88788,0,1,333,208,1,0,1,1,1.597,31,60,93,46,0,0,0,26,5,2,0.0,0.129,NO_FIX,looks consistent
bass_clarinet,bass-clarinet_A2_025_piano_normal,7.A-,7.A'a2,109.095807,0,1,581,241,1,9,1,1,1.243,30,72,107,30,6,5,13,40,40,0,2.364,0.0,NO_FIX,looks consistent
bass_clarinet,bass-clarinet_A2_05_forte_normal,7.A-,7.A'a1,109.248456,0,1,730,277,1,13,1,1,1.199,34,88,104,49,10,8,12,44,44,0,1.333,0.0,NO_FIX,looks consistent
bass_clarinet,bass-clarinet_A2_05_fortissimo_normal,7.A-,7.A'a2,108.780186,0,1,793,242,1,15,1,1,1.171,32,77,91,16,8,14,23,40,44,0,2.091,0.0,NO_FIX,looks consistent
bass_clarinet,bass-clarinet_A2_05_pianissimo_normal,7.A-,7.A'-,109.93961,0,1,754,380,1,0,1,1,1.453,48,127,154,90,0,0,0,51,14,0,0.0,0.0,NO_FIX,looks consistent
bass_clarinet,bass-clarinet_A2_05_piano_normal,7.A-,7.A'a2,108.795746,0,1,797,320,1,6,1,1,1.068,40,108,120,30,8,6,8,52,52,0,1.143,0.0,NO_FIX,looks consistent
bass_clarinet,bass-clarinet_A2_15_forte_normal,7.A-,7.A'a2,108.9206,0,1,2651,1143,1,4,1,1,1.2,109,353,375,311,13,8,5,144,144,4,0.476,0.028,NO_FIX,looks consistent
