merged_event_id,candidate_note,birth_frame,winner_instrument,winner_score,runner_up_instrument,runner_up_score,winner_state,winner_window_alignment,piano_score,piano_affinity,piano_window,piano_body_ratio,piano_secondary_ratio,violin_score,violin_affinity,violin_window,violin_body_ratio,violin_secondary_ratio,cello_score,cello_affinity,cello_window,cello_body_ratio,cello_secondary_ratio,organ_score,organ_affinity,organ_window,organ_body_ratio,organ_secondary_ratio,dominant_instrument,dominant_score,dominant_state_layered,support_instruments,support_count,support_combo_key
30,7.8'-,5045,piano,1.300000000,cello,0.100000000,LEANING_WINNER,WINNER_IN_OWN_TARGET_WINDOW,1.300000000,NO_INSTRUMENT_TRACE,TARGET_ONLY_WINDOW,0.000000000,0.000000000,0.100000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,0.100000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,0.100000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,UNRESOLVED_FIELD,1.300000000,NO_STRUCTURAL_OWNER,,0,<NONE>
31,7.8'-,5136,organ,1.100000000,piano,1.100000000,AMBIGUOUS,WINNER_IN_MIXED_WINDOW,1.100000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,0.500000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,0.500000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,1.100000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,UNRESOLVED_FIELD,1.100000000,NO_STRUCTURAL_OWNER,,0,<NONE>
32,7.8'-,5140,organ,0.700000000,piano,0.700000000,AMBIGUOUS,WINNER_IN_MIXED_WINDOW,0.700000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,0.100000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,0.100000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,0.700000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,UNRESOLVED_FIELD,0.700000000,NO_STRUCTURAL_OWNER,,0,<NONE>
33,7.8'-,5226,cello,1.200000000,piano,1.200000000,AMBIGUOUS,WINNER_IN_MIXED_WINDOW,1.200000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,1.200000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,1.200000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,0.600000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,UNRESOLVED_FIELD,1.200000000,NO_STRUCTURAL_OWNER,,0,<NONE>
35,7.8'-,5230,cello,0.900000000,piano,0.900000000,AMBIGUOUS,WINNER_IN_MIXED_WINDOW,0.900000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,0.900000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,0.900000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,0.300000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,UNRESOLVED_FIELD,0.900000000,NO_STRUCTURAL_OWNER,,0,<NONE>
37,7.8'-,5318,piano,1.400000000,cello,0.200000000,LEANING_WINNER,WINNER_IN_OWN_TARGET_WINDOW,1.400000000,NO_INSTRUMENT_TRACE,TARGET_ONLY_WINDOW,0.000000000,0.000000000,0.200000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,0.200000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,0.200000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,UNRESOLVED_FIELD,1.400000000,NO_STRUCTURAL_OWNER,,0,<NONE>
153,8.5'-,5238,cello,12.588888890,piano,1.300000000,CLEAR_WINNER,WINNER_IN_MIXED_WINDOW,1.300000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,1.300000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,12.588888890,HIGH_BODY_AFFINITY,MIXED_WINDOW,0.888888889,0.000000000,0.700000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,cello,12.588888890,CLEAR_DOMINANT,,0,<NONE>
154,8.5'-,5242,cello,11.533333330,piano,1.000000000,CLEAR_WINNER,WINNER_IN_MIXED_WINDOW,1.000000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,1.000000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,11.533333330,HIGH_BODY_AFFINITY,MIXED_WINDOW,0.833333333,0.000000000,0.400000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,cello,11.533333330,CLEAR_DOMINANT,,0,<NONE>
155,8.5'-,5243,cello,10.500000000,piano,0.900000000,CLEAR_WINNER,WINNER_IN_MIXED_WINDOW,0.900000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,0.900000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,10.500000000,HIGH_BODY_AFFINITY,MIXED_WINDOW,0.800000000,0.000000000,0.300000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,cello,10.500000000,CLEAR_DOMINANT,,0,<NONE>
156,8.5'-,5246,cello,8.166666670,piano,0.700000000,CLEAR_WINNER,WINNER_IN_MIXED_WINDOW,0.700000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,0.700000000,NO_INSTRUMENT_TRACE,MIXED_WINDOW,0.000000000,0.000000000,8.166666670,HIGH_BODY_AFFINITY,MIXED_WINDOW,0.666666667,0.000000000,0.100000000,NO_INSTRUMENT_TRACE,OTHER_ONLY_WINDOW,0.000000000,0.000000000,cello,8.166666670,CLEAR_DOMINANT,,0,<NONE>
