merged_event_id,birth_frame,dominant_instrument,dominant_state_layered,support_combo_key,candidate_note,attack_owner,sustain_owner,body_owner,field_owner,support_owners,role_pattern,role_confidence,acoustic_cause_class,residual_fragmentation_class,refined_lifecycle_kind,shared_mode,ownership_mode
30,5045,UNRESOLVED_FIELD,NO_STRUCTURAL_OWNER,<NONE>,7.8'-,,,,unresolved_field,,UNRESOLVED_FIELD_EVENT,LOW,LIKELY_SHORT_RESONANCE_TRACE,VERY_SHORT_EVENT,weak_or_short_lifecycle,,
31,5136,UNRESOLVED_FIELD,NO_STRUCTURAL_OWNER,<NONE>,7.8'-,,,unknown_body,,,BODY_RETURN_EVENT,LOW,LIKELY_INSTRUMENT_BODY_RETURN,SAME_NOTE_NEAR_REBIRTH,weak_or_short_lifecycle,,
32,5140,UNRESOLVED_FIELD,NO_STRUCTURAL_OWNER,<NONE>,7.8'-,,,unknown_body,,,BODY_RETURN_EVENT,LOW,LIKELY_INSTRUMENT_BODY_RETURN,SAME_NOTE_NEAR_REBIRTH,weak_or_short_lifecycle,,
33,5226,UNRESOLVED_FIELD,NO_STRUCTURAL_OWNER,<NONE>,7.8'-,,,unknown_body,,,BODY_RETURN_EVENT,LOW,LIKELY_INSTRUMENT_BODY_RETURN,SAME_NOTE_NEAR_REBIRTH,weak_or_short_lifecycle,,
35,5230,UNRESOLVED_FIELD,NO_STRUCTURAL_OWNER,<NONE>,7.8'-,,,unknown_body,,,BODY_RETURN_EVENT,LOW,LIKELY_INSTRUMENT_BODY_RETURN,SAME_NOTE_NEAR_REBIRTH,weak_or_short_lifecycle,,
37,5318,UNRESOLVED_FIELD,NO_STRUCTURAL_OWNER,<NONE>,7.8'-,,,,unresolved_field,,UNRESOLVED_FIELD_EVENT,LOW,LIKELY_SHORT_RESONANCE_TRACE,VERY_SHORT_EVENT,weak_or_short_lifecycle,,
153,5238,cello,CLEAR_DOMINANT,<NONE>,8.5'-,,cello,cello,,,INTERNAL_WAVE_EVENT,MEDIUM,LIKELY_INTERNAL_WAVE,SAME_NOTE_NEAR_REBIRTH,coherent_sustained_lifecycle_with_internal_waves,,
154,5242,cello,CLEAR_DOMINANT,<NONE>,8.5'-,,cello,,,,INTERNAL_WAVE_EVENT,MEDIUM,LIKELY_INTERNAL_WAVE,SAME_NOTE_NEAR_REBIRTH,coherent_sustained_lifecycle_with_internal_waves,,
155,5243,cello,CLEAR_DOMINANT,<NONE>,8.5'-,,cello,,,,INTERNAL_WAVE_EVENT,MEDIUM,LIKELY_INTERNAL_WAVE,SAME_NOTE_NEAR_REBIRTH,weak_or_short_lifecycle,,
156,5246,cello,CLEAR_DOMINANT,<NONE>,8.5'-,,cello,cello,,,BODY_RETURN_EVENT,HIGH,LIKELY_INSTRUMENT_BODY_RETURN,SAME_NOTE_NEAR_REBIRTH,weak_or_short_lifecycle,,
157,5327,cello,CLEAR_DOMINANT,<NONE>,8.5'-,,cello,cello,,,BODY_RETURN_EVENT,HIGH,LIKELY_INSTRUMENT_BODY_RETURN,SAME_NOTE_NEAR_REBIRTH,weak_or_short_lifecycle,,
