event_index,event_id,track_index,track,channel,midi_note,velocity,time_start_sec,time_end_sec,start_sec,end_sec,duration_sec,start_frame60,end_frame60,duration_frames60,note12,expected_note,expected_note_token,note_token,token,octave_token,step_token,onset_group,onset_notes,onset_polyphony,freq_hz,semantic_layer,track_name,all_track_names,midi_channels_for_track,primary_channel_for_track,program_changes_for_track,primary_program_for_track,primary_program_name_for_track,midi_note_on_count_for_track,csv_event_count_for_track,track_count_delta
869,869,3,3,2,60,36,80.000000000,82.000000000,80.000000000,82.000000000,2.000000000,4800,4920,120,9.1'-,9.1'-,9.1'-,9.1'-,9.1'-,9,1,641,9.1'- 9.5'- A.5'-,3,261.625565,midi_reference,Cello 2,Cello 2,2,2,ch2:42,42,Cello,71,71,0
870,870,2,2,1,64,49,80.000000000,81.500000000,80.000000000,81.500000000,1.500000000,4800,4890,90,9.5'-,9.5'-,9.5'-,9.5'-,9.5'-,9,5,641,9.1'- 9.5'- A.5'-,3,329.627557,midi_reference,Cello,Cello,1,1,ch1:42,42,Cello,211,211,0
871,871,5,5,4,60,64,80.001953125,85.895507812,80.001953125,85.895507812,5.893554688,4800,5154,354,9.1'-,9.1'-,9.1'-,9.1'-,9.1'-,9,1,641,9.1'- 9.5'- A.5'-,3,261.625565,midi_reference,Organ-Bass,Organ-Bass,4,4,ch4:19,19,Church Organ,77,77,0
872,872,6,6,5,60,29,80.001953125,80.151855469,80.001953125,80.151855469,0.149902344,4800,4809,9,9.1'-,9.1'-,9.1'-,9.1'-,9.1'-,9,1,641,9.1'- 9.5'- A.5'-,3,261.625565,midi_reference,Piano-Treble,Piano-Treble,5,5,ch5:0,0,Acoustic Grand Piano,545,545,0
873,873,4,4,3,64,64,80.001953125,81.962890625,80.001953125,81.962890625,1.960937500,4800,4918,118,9.5'-,9.5'-,9.5'-,9.5'-,9.5'-,9,5,641,9.1'- 9.5'- A.5'-,3,329.627557,midi_reference,Organ-Treble,Organ-Treble,3,3,ch3:19,19,Church Organ,102,102,0
874,874,1,1,0,76,57,80.001953125,81.483398438,80.001953125,81.483398438,1.481445312,4800,4889,89,A.5'-,A.5'-,A.5'-,A.5'-,A.5'-,A,5,641,9.1'- 9.5'- A.5'-,3,659.255114,midi_reference,Violin,Violin,0,0,ch0:40,40,Violin,211,211,0
875,875,6,6,5,64,24,80.145019531,80.273437500,80.145019531,80.273437500,0.128417969,4809,4816,7,9.5'-,9.5'-,9.5'-,9.5'-,9.5'-,9,5,642,9.5'-,1,329.627557,midi_reference,Piano-Treble,Piano-Treble,5,5,ch5:0,0,Acoustic Grand Piano,545,545,0
876,876,6,6,5,67,24,80.266601562,80.395019531,80.266601562,80.395019531,0.128417969,4816,4824,8,9.8'-,9.8'-,9.8'-,9.8'-,9.8'-,9,8,643,9.8'-,1,391.995436,midi_reference,Piano-Treble,Piano-Treble,5,5,ch5:0,0,Acoustic Grand Piano,545,545,0
877,877,6,6,5,72,24,80.388183594,80.521484375,80.388183594,80.521484375,0.133300781,4823,4831,8,A.1'-,A.1'-,A.1'-,A.1'-,A.1'-,A,1,644,A.1'-,1,523.251131,midi_reference,Piano-Treble,Piano-Treble,5,5,ch5:0,0,Acoustic Grand Piano,545,545,0
878,878,6,6,5,76,25,80.514648438,80.647460938,80.514648438,80.647460938,0.132812500,4831,4839,8,A.5'-,A.5'-,A.5'-,A.5'-,A.5'-,A,5,645,A.5'-,1,659.255114,midi_reference,Piano-Treble,Piano-Treble,5,5,ch5:0,0,Acoustic Grand Piano,545,545,0
