fused_event_id,event_kind,start_frame,end_frame,main_note_token,backbone_proto_id,field_support_attached,field_support_start_frame,field_support_end_frame,field_support_entity_count,field_support_kind,field_support_dominants_json,member_event_group_ids_json
40,notechain_backbone,396,401,9.6'-,4459,1,399,411,1,pitchclass_onset_support,"[""A.6'-""]","[""41""]"
333,ambient_field_residue,402,421,A.5'-,,1,402,421,4,event_field_only,"[""A.5'-""]","[""42""]"
334,ambient_field_residue,413,435,A.8'-,,1,413,435,6,event_field_only,"[""A.8'-""]","[""43""]"
41,notechain_backbone,419,428,A.8'-,4627,0,,,0,foreign_field_support,[],[]
335,ambient_field_residue,424,444,A.3'-,,1,424,444,7,event_field_only,"[""A.3'-""]","[""44""]"
336,ambient_field_residue,433,455,A.A'-,,1,433,455,5,event_field_only,"[""A.A'-""]","[""45""]"
337,event_field_only,451,468,A.5'-,,1,451,468,6,event_field_only,"[""A.5'-""]","[""46""]"
338,ambient_field_residue,458,477,A.6'-,,1,458,477,4,event_field_only,"[""A.6'-""]","[""47""]"
339,event_field_only,470,489,A.5'-,,1,470,489,12,event_field_only,"[""A.5'-""]","[""48""]"
340,ambient_field_residue,481,502,A.3'-,,1,481,502,6,event_field_only,"[""A.3'-""]","[""49""]"
341,event_field_only,493,511,9.A'-,,1,493,511,14,event_field_only,"[""9.A'-""]","[""50""]"
342,event_field_only,500,518,A.5'-,,1,500,518,9,event_field_only,"[""A.5'-""]","[""51""]"
42,notechain_backbone,502,506,9.A'-,4754,0,,,0,foreign_field_support,[],[]
343,event_field_only,515,535,A.3'-,,1,515,535,8,event_field_only,"[""A.3'-""]","[""52""]"
344,ambient_field_residue,524,546,A.6'-,,1,524,546,9,event_field_only,"[""A.6'-""]","[""53""]"
43,notechain_backbone,531,540,A.6'-,4462,0,,,0,,[],[]
345,ambient_field_residue,537,555,A.5'-,,1,537,555,4,event_field_only,"[""A.5'-""]","[""54""]"
346,event_field_only,548,563,A.3'-,,1,548,563,5,event_field_only,"[""A.3'-""]","[""55""]"
347,event_field_only,557,570,A.3'-,,1,557,570,1,event_field_only,"[""A.3'-""]","[""56""]"
44,notechain_backbone,564,585,9.5'-,4357,1,563,585,13,exact_onset_support,"[""9.5'-""]","[""57""]"
45,notechain_backbone,574,585,8.5'-,2956,0,,,0,foreign_field_support,[],[]
348,ambient_field_residue,575,594,9.5'-,,1,575,594,6,event_field_only,"[""9.5'-""]","[""58""]"
46,notechain_backbone,576,584,9.C'-,4914,0,,,0,foreign_field_support,[],[]
349,event_field_only,583,600,9.A'-,,1,583,600,7,event_field_only,"[""9.A'-""]","[""59""]"
47,notechain_backbone,586,587,7.9'-,2256,0,,,0,foreign_field_support,[],[]
48,notechain_backbone,588,589,9.7'-,4566,0,,,0,foreign_field_support,[],[]
350,ambient_field_residue,589,611,A.1'-,,1,589,611,15,event_field_only,"[""A.1'-""]","[""60""]"
49,notechain_backbone,593,594,9.7'-,4567,0,,,0,foreign_field_support,[],[]
351,event_field_only,600,616,A.1'-,,1,600,616,6,event_field_only,"[""A.1'-""]","[""61""]"
50,notechain_backbone,608,618,9.C'-,4915,1,606,621,6,exact_onset_support,"[""9.C'-""]","[""62""]"
51,notechain_backbone,609,619,9.8'-,4634,0,,,0,foreign_field_support,[],[]
52,notechain_backbone,611,619,9.8'-,4635,0,,,0,foreign_field_support,[],[]
53,notechain_backbone,614,618,9.C'-,4916,0,,,0,foreign_field_support,[],[]
352,ambient_field_residue,614,633,A.3'-,,1,614,633,6,event_field_only,"[""A.3'-""]","[""63""]"
353,event_field_only,628,646,9.A'-,,1,628,646,7,event_field_only,"[""9.A'-""]","[""64""]"
354,event_field_only,632,645,A.1'-,,1,632,645,5,event_field_only,"[""A.1'-""]","[""65""]"
54,notechain_backbone,637,642,9.A'-,4761,0,,,0,foreign_field_support,[],[]
55,notechain_backbone,642,663,9.C'-,4917,1,637,659,12,exact_onset_support,"[""9.C'-""]","[""66""]"
355,event_field_only,648,664,9.C'-,,1,648,664,6,event_field_only,"[""9.C'-""]","[""67""]"
56,notechain_backbone,655,664,9.A'-,4763,1,653,670,8,exact_onset_support,"[""9.A'-""]","[""68""]"
57,notechain_backbone,656,663,9.C'-,4918,0,,,0,foreign_field_support,[],[]
58,notechain_backbone,665,675,9.8'-,4638,1,660,681,8,exact_onset_support,"[""9.8'-""]","[""69""]"
59,notechain_backbone,676,686,A.7'-,2018,1,674,688,4,exact_onset_support,"[""A.7'-""]","[""70""]"
60,notechain_backbone,678,686,9.7'-,4570,0,,,0,foreign_field_support,[],[]
61,notechain_backbone,687,698,9.A'-,4764,1,682,703,19,exact_onset_support,"[""9.A'-""]","[""71""]"
