onset_group_id,anchor_frame,start_min_frame,start_max_frame,start_span_frames,member_count,kind_counts_json,support_counts_json,main_note_tokens_json
37,396,396,396,0,1,"{""notechain_backbone"": 1}","{""pitchclass_onset_support"": 1}","[""9.6'-""]"
38,419,419,419,0,1,"{""notechain_backbone"": 1}","{""foreign_field_support"": 1}","[""A.8'-""]"
39,451,451,451,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""A.5'-""]"
40,470,470,470,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""A.5'-""]"
41,493,493,493,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""9.A'-""]"
42,500,500,502,2,2,"{""event_field_only"": 1, ""notechain_backbone"": 1}","{""event_field_only"": 1, ""foreign_field_support"": 1}","[""A.5'-"", ""9.A'-""]"
43,515,515,515,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""A.3'-""]"
44,531,531,531,0,1,"{""notechain_backbone"": 1}","{"""": 1}","[""A.6'-""]"
45,548,548,548,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""A.3'-""]"
46,557,557,557,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""A.3'-""]"
47,564,564,564,0,1,"{""notechain_backbone"": 1}","{""exact_onset_support"": 1}","[""9.5'-""]"
48,574,574,576,2,2,"{""notechain_backbone"": 2}","{""foreign_field_support"": 2}","[""8.5'-"", ""9.C'-""]"
49,583,583,586,3,2,"{""event_field_only"": 1, ""notechain_backbone"": 1}","{""event_field_only"": 1, ""foreign_field_support"": 1}","[""9.A'-"", ""7.9'-""]"
50,588,588,588,0,1,"{""notechain_backbone"": 1}","{""foreign_field_support"": 1}","[""9.7'-""]"
51,593,593,593,0,1,"{""notechain_backbone"": 1}","{""foreign_field_support"": 1}","[""9.7'-""]"
52,600,600,600,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""A.1'-""]"
53,608,608,611,3,3,"{""notechain_backbone"": 3}","{""exact_onset_support"": 1, ""foreign_field_support"": 2}","[""9.C'-"", ""9.8'-"", ""9.8'-""]"
54,614,614,614,0,1,"{""notechain_backbone"": 1}","{""foreign_field_support"": 1}","[""9.C'-""]"
55,628,628,628,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""9.A'-""]"
56,632,632,632,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""A.1'-""]"
57,637,637,637,0,1,"{""notechain_backbone"": 1}","{""foreign_field_support"": 1}","[""9.A'-""]"
58,642,642,642,0,1,"{""notechain_backbone"": 1}","{""exact_onset_support"": 1}","[""9.C'-""]"
59,648,648,648,0,1,"{""event_field_only"": 1}","{""event_field_only"": 1}","[""9.C'-""]"
60,655,655,656,1,2,"{""notechain_backbone"": 2}","{""exact_onset_support"": 1, ""foreign_field_support"": 1}","[""9.A'-"", ""9.C'-""]"
61,665,665,665,0,1,"{""notechain_backbone"": 1}","{""exact_onset_support"": 1}","[""9.8'-""]"
62,676,676,678,2,2,"{""notechain_backbone"": 2}","{""exact_onset_support"": 1, ""foreign_field_support"": 1}","[""A.7'-"", ""9.7'-""]"
63,687,687,687,0,1,"{""notechain_backbone"": 1}","{""exact_onset_support"": 1}","[""9.A'-""]"
