event_index,event_id,track_index,track,channel,midi_note,velocity,time_start_sec,time_end_sec,start_sec,end_sec,duration_sec,start_frame60,end_frame60,duration_frames60,note12,expected_note,expected_note_token,note_token,token,octave_token,step_token,onset_group,onset_notes,onset_polyphony,freq_hz,semantic_layer
70,70,2,2,2,54,127,6.500000000,6.750000000,6.500000000,6.750000000,0.250000000,390,405,15,8.7'-,8.7'-,8.7'-,8.7'-,8.7'-,8,7,52,8.7'- 9.A'-,2,184.997211,midi_reference
71,71,1,1,1,69,127,6.500000000,6.625000000,6.500000000,6.625000000,0.125000000,390,398,8,9.A'-,9.A'-,9.A'-,9.A'-,9.A'-,9,A,52,8.7'- 9.A'-,2,440.000000,midi_reference
72,72,1,1,1,72,127,6.625000000,6.750000000,6.625000000,6.750000000,0.125000000,398,405,7,A.1'-,A.1'-,A.1'-,A.1'-,A.1'-,A,1,53,A.1'-,1,523.251131,midi_reference
73,73,2,2,2,55,127,6.750000000,7.000000000,6.750000000,7.000000000,0.250000000,405,420,15,8.8'-,8.8'-,8.8'-,8.8'-,8.8'-,8,8,54,8.8'- 9.C'-,2,195.997718,midi_reference
74,74,1,1,1,71,127,6.750000000,6.875000000,6.750000000,6.875000000,0.125000000,405,412,7,9.C'-,9.C'-,9.C'-,9.C'-,9.C'-,9,C,54,8.8'- 9.C'-,2,493.883301,midi_reference
75,75,1,1,1,74,127,6.875000000,7.000000000,6.875000000,7.000000000,0.125000000,412,420,8,A.3'-,A.3'-,A.3'-,A.3'-,A.3'-,A,3,55,A.3'-,1,587.329536,midi_reference
76,76,2,2,2,57,127,7.000000000,7.250000000,7.000000000,7.250000000,0.250000000,420,435,15,8.A'-,8.A'-,8.A'-,8.A'-,8.A'-,8,A,56,8.A'- A.1'-,2,220.000000,midi_reference
77,77,1,1,1,72,127,7.000000000,7.125000000,7.000000000,7.125000000,0.125000000,420,428,8,A.1'-,A.1'-,A.1'-,A.1'-,A.1'-,A,1,56,8.A'- A.1'-,2,523.251131,midi_reference
78,78,1,1,1,71,127,7.125000000,7.250000000,7.125000000,7.250000000,0.125000000,428,435,7,9.C'-,9.C'-,9.C'-,9.C'-,9.C'-,9,C,57,9.C'-,1,493.883301,midi_reference
79,79,2,2,2,59,127,7.250000000,7.500000000,7.250000000,7.500000000,0.250000000,435,450,15,8.C'-,8.C'-,8.C'-,8.C'-,8.C'-,8,C,58,8.C'- 9.A'-,2,246.941651,midi_reference
80,80,1,1,1,69,127,7.250000000,7.375000000,7.250000000,7.375000000,0.125000000,435,442,7,9.A'-,9.A'-,9.A'-,9.A'-,9.A'-,9,A,58,8.C'- 9.A'-,2,440.000000,midi_reference
81,81,1,1,1,67,127,7.375000000,7.500000000,7.375000000,7.500000000,0.125000000,442,450,8,9.8'-,9.8'-,9.8'-,9.8'-,9.8'-,9,8,59,9.8'-,1,391.995436,midi_reference
82,82,2,2,2,60,127,7.500000000,8.125000000,7.500000000,8.125000000,0.625000000,450,488,38,9.1'-,9.1'-,9.1'-,9.1'-,9.1'-,9,1,60,9.1'- 9.7'-,2,261.625565,midi_reference
83,83,1,1,1,66,127,7.500000000,7.625000000,7.500000000,7.625000000,0.125000000,450,458,8,9.7'-,9.7'-,9.7'-,9.7'-,9.7'-,9,7,60,9.1'- 9.7'-,2,369.994423,midi_reference
84,84,1,1,1,69,127,7.625000000,7.750000000,7.625000000,7.750000000,0.125000000,458,465,7,9.A'-,9.A'-,9.A'-,9.A'-,9.A'-,9,A,61,9.A'-,1,440.000000,midi_reference
85,85,1,1,1,67,127,7.750000000,7.875000000,7.750000000,7.875000000,0.125000000,465,472,7,9.8'-,9.8'-,9.8'-,9.8'-,9.8'-,9,8,62,9.8'-,1,391.995436,midi_reference
86,86,1,1,1,71,127,7.875000000,8.000000000,7.875000000,8.000000000,0.125000000,472,480,8,9.C'-,9.C'-,9.C'-,9.C'-,9.C'-,9,C,63,9.C'-,1,493.883301,midi_reference
87,87,1,1,1,69,127,8.000000000,8.250000000,8.000000000,8.250000000,0.250000000,480,495,15,9.A'-,9.A'-,9.A'-,9.A'-,9.A'-,9,A,64,9.A'-,1,440.000000,midi_reference
88,88,2,2,2,50,127,8.125000000,8.250000000,8.125000000,8.250000000,0.125000000,488,495,7,8.3'-,8.3'-,8.3'-,8.3'-,8.3'-,8,3,65,8.3'-,1,146.832384,midi_reference
89,89,2,2,2,52,127,8.250000000,8.375000000,8.250000000,8.375000000,0.125000000,495,502,7,8.5'-,8.5'-,8.5'-,8.5'-,8.5'-,8,5,66,8.5'- 9.3'-,2,164.813778,midi_reference
90,90,1,1,1,62,127,8.250000000,8.500000000,8.250000000,8.500000000,0.250000000,495,510,15,9.3'-,9.3'-,9.3'-,9.3'-,9.3'-,9,3,66,8.5'- 9.3'-,2,293.664768,midi_reference
91,91,2,2,2,54,127,8.375000000,8.500000000,8.375000000,8.500000000,0.125000000,502,510,8,8.7'-,8.7'-,8.7'-,8.7'-,8.7'-,8,7,67,8.7'-,1,184.997211,midi_reference
92,92,2,2,2,55,127,8.500000000,8.625000000,8.500000000,8.625000000,0.125000000,510,518,8,8.8'-,8.8'-,8.8'-,8.8'-,8.8'-,8,8,68,8.8'- A.1'-,2,195.997718,midi_reference
93,93,1,1,1,72,127,8.500000000,8.875000000,8.500000000,8.875000000,0.375000000,510,532,22,A.1'-,A.1'-,A.1'-,A.1'-,A.1'-,A,1,68,8.8'- A.1'-,2,523.251131,midi_reference
94,94,2,2,2,52,127,8.625000000,8.750000000,8.625000000,8.750000000,0.125000000,518,525,7,8.5'-,8.5'-,8.5'-,8.5'-,8.5'-,8,5,69,8.5'-,1,164.813778,midi_reference
95,95,2,2,2,54,127,8.750000000,8.875000000,8.750000000,8.875000000,0.125000000,525,532,7,8.7'-,8.7'-,8.7'-,8.7'-,8.7'-,8,7,70,8.7'-,1,184.997211,midi_reference
96,96,2,2,2,50,127,8.875000000,9.000000000,8.875000000,9.000000000,0.125000000,532,540,8,8.3'-,8.3'-,8.3'-,8.3'-,8.3'-,8,3,71,8.3'- A.3'-,2,146.832384,midi_reference
97,97,1,1,1,74,127,8.875000000,9.000000000,8.875000000,9.000000000,0.125000000,532,540,8,A.3'-,A.3'-,A.3'-,A.3'-,A.3'-,A,3,71,8.3'- A.3'-,2,587.329536,midi_reference
98,98,2,2,2,55,127,9.000000000,9.250000000,9.000000000,9.250000000,0.250000000,540,555,15,8.8'-,8.8'-,8.8'-,8.8'-,8.8'-,8,8,72,8.8'- 9.C'-,2,195.997718,midi_reference
99,99,1,1,1,71,127,9.000000000,9.125000000,9.000000000,9.125000000,0.125000000,540,548,8,9.C'-,9.C'-,9.C'-,9.C'-,9.C'-,9,C,72,8.8'- 9.C'-,2,493.883301,midi_reference
100,100,1,1,1,69,127,9.125000000,9.250000000,9.125000000,9.250000000,0.125000000,548,555,7,9.A'-,9.A'-,9.A'-,9.A'-,9.A'-,9,A,73,9.A'-,1,440.000000,midi_reference
101,101,2,2,2,47,127,9.250000000,9.500000000,9.250000000,9.500000000,0.250000000,555,570,15,7.C'-,7.C'-,7.C'-,7.C'-,7.C'-,7,C,74,7.C'- 9.8'-,2,123.470825,midi_reference
102,102,1,1,1,67,127,9.250000000,9.375000000,9.250000000,9.375000000,0.125000000,555,562,7,9.8'-,9.8'-,9.8'-,9.8'-,9.8'-,9,8,74,7.C'- 9.8'-,2,391.995436,midi_reference
103,103,1,1,1,66,127,9.375000000,9.500000000,9.375000000,9.500000000,0.125000000,562,570,8,9.7'-,9.7'-,9.7'-,9.7'-,9.7'-,9,7,75,9.7'-,1,369.994423,midi_reference
104,104,2,2,2,48,127,9.500000000,9.750000000,9.500000000,9.750000000,0.250000000,570,585,15,8.1'-,8.1'-,8.1'-,8.1'-,8.1'-,8,1,76,8.1'- 9.5'-,2,130.812783,midi_reference
105,105,1,1,1,64,127,9.500000000,9.625000000,9.500000000,9.625000000,0.125000000,570,578,8,9.5'-,9.5'-,9.5'-,9.5'-,9.5'-,9,5,76,8.1'- 9.5'-,2,329.627557,midi_reference
106,106,1,1,1,67,127,9.625000000,9.750000000,9.625000000,9.750000000,0.125000000,578,585,7,9.8'-,9.8'-,9.8'-,9.8'-,9.8'-,9,8,77,9.8'-,1,391.995436,midi_reference
107,107,2,2,2,50,127,9.750000000,10.000000000,9.750000000,10.000000000,0.250000000,585,600,15,8.3'-,8.3'-,8.3'-,8.3'-,8.3'-,8,3,78,8.3'- 9.7'-,2,146.832384,midi_reference
108,108,1,1,1,66,127,9.750000000,9.875000000,9.750000000,9.875000000,0.125000000,585,592,7,9.7'-,9.7'-,9.7'-,9.7'-,9.7'-,9,7,78,8.3'- 9.7'-,2,369.994423,midi_reference
109,109,1,1,1,69,127,9.875000000,10.000000000,9.875000000,10.000000000,0.125000000,592,600,8,9.A'-,9.A'-,9.A'-,9.A'-,9.A'-,9,A,79,9.A'-,1,440.000000,midi_reference
110,110,2,2,2,52,127,10.000000000,10.250000000,10.000000000,10.250000000,0.250000000,600,615,15,8.5'-,8.5'-,8.5'-,8.5'-,8.5'-,8,5,80,8.5'- 9.8'-,2,164.813778,midi_reference
111,111,1,1,1,67,127,10.000000000,10.125000000,10.000000000,10.125000000,0.125000000,600,608,8,9.8'-,9.8'-,9.8'-,9.8'-,9.8'-,9,8,80,8.5'- 9.8'-,2,391.995436,midi_reference
