instrument,phase_bin,harmonic_index,point_count,mean_relative_amp,median_relative_amp,max_relative_amp,mean_time,min_time,max_time,mean_hz
RealPiano_1_1,attack,1,159,0.1549830748987561,0.0441555801311484,1.0,0.10056801742123136,0.0012106537530266368,0.19975786924939468,326.70371880503143
cello,attack,1,33,0.417951397968343,0.4590027277480035,0.6221005339714389,0.13152742468075163,0.049180327868852444,0.19852941176470595,329.13965606060606
violin,attack,1,18,0.4629156088357889,0.45568670374174913,0.6234523059481959,0.13881154692929892,0.06779661016949146,0.196969696969697,329.7040177777778
RealPiano_1_1,attack,2,166,0.10760574975925796,0.038843971254987605,0.8789559697963777,0.09987893462469735,0.0,0.19975786924939468,657.2445636144578
cello,attack,2,38,0.10411213687112869,0.10664464925348445,0.1964043003862199,0.12039727452672185,0.007352941176470602,0.19852941176470595,657.8506968421052
violin,attack,2,29,0.17253378878215656,0.1968022555595209,0.3486387249742331,0.10777947738481743,0.0,0.196969696969697,661.0934779310345
RealPiano_1_1,attack,3,161,0.008006322407175923,0.0047061280583556,0.0610875496127587,0.1018904245559683,0.0,0.19975786924939468,983.9065307453416
cello,attack,3,44,0.12761147333050527,0.14462714458618053,0.2813671698119997,0.10769550617067494,0.0,0.19852941176470595,985.4073702272727
violin,attack,3,26,0.4033571301295695,0.4488856978744221,0.7851969851444044,0.12447937135715903,0.030303030303030356,0.196969696969697,990.9636423076923
RealPiano_1_1,attack,4,165,0.009566705077960567,0.0030855687559589,0.0796820357022159,0.09977254384034046,0.0,0.19975786924939468,1315.6487406060605
cello,attack,4,41,0.07900152167511679,0.0817872144695497,0.1666520915458817,0.1148583050439955,0.007352941176470602,0.19852941176470595,1316.32576097561
violin,attack,4,28,0.11253191289349397,0.12199831329298225,0.2478598604192022,0.11053249456460874,0.0,0.196969696969697,1319.9824678571429
RealPiano_1_1,attack,5,153,0.004102699874328553,0.0017688166641255,0.0282075750751963,0.1034911139597082,0.0,0.19975786924939468,1646.8455647058825
cello,attack,5,36,0.01670794109980299,0.016265579961780602,0.0384820768966816,0.1183066805957356,0.007352941176470602,0.19852941176470595,1642.3051833333332
violin,attack,5,23,0.06157511005109244,0.0686320538757197,0.1112839172142505,0.13197796527897757,0.016949152542372815,0.196969696969697,1650.1803565217392
RealPiano_1_1,attack,6,160,0.006960430852601664,0.0059012631448780006,0.0548602727656605,0.10301150121065376,0.0,0.19975786924939468,1981.8357575000002
cello,attack,6,45,0.06955257902759557,0.0714745213415878,0.1561748307995725,0.1059933688107909,0.0,0.19852941176470595,1973.3717333333334
violin,attack,6,23,0.15301717541621923,0.1408964615650707,0.2709066245577958,0.134110566158815,0.05084745762711864,0.196969696969697,1981.7281130434783
RealPiano_1_1,attack,7,129,0.0035775598909570396,0.0023467534338106,0.0344839640743553,0.08927867560110367,0.0,0.1767554479418886,2319.3535689922483
cello,attack,7,43,0.04107068148204347,0.0483952495750557,0.0911306238373849,0.10955654977711002,0.0,0.19852941176470595,2303.8081860465113
violin,attack,7,29,0.08004959318125165,0.0826336664400122,0.1913068562321834,0.11928118740078504,0.016949152542372815,0.196969696969697,2311.3309448275863
cello,attack,8,39,0.01040601386002853,0.0079320658139304,0.0259499065726733,0.11539835213895004,0.0,0.19852941176470595,2632.0099615384615
violin,attack,8,28,0.02206167683416096,0.0185890296321479,0.0544972596216155,0.12901041123610257,0.05084745762711864,0.196969696969697,2639.7574642857144
cello,attack,9,40,0.016399081083964796,0.0168161854742339,0.0334810307062529,0.11493022072216867,0.0,0.19852941176470595,2964.479035
violin,attack,9,25,0.0438504863429128,0.0358416422961608,0.1051885939499895,0.12691428108020436,0.0,0.196969696969697,2971.329772
cello,attack,10,33,0.005777259558316264,0.0060982289315024,0.0123319332517075,0.10333364178590795,0.0,0.19852941176470595,3281.9279393939396
violin,attack,10,26,0.026807185133431836,0.02689652591298385,0.0604842739768875,0.1263882564060976,0.030303030303030356,0.196969696969697,3303.818007692308
cello,attack,11,43,0.016060601931154717,0.0191149042557767,0.0279532250375251,0.10989730114945967,0.0,0.19852941176470595,3620.8993674418602
violin,attack,11,32,0.04041313482466116,0.03148065737405275,0.1105287360998056,0.1160793933987511,0.03389830508474573,0.196969696969697,3634.4651375
cello,attack,12,33,0.006059918306452564,0.0057056958915271,0.0142817119045726,0.11060987567737812,0.0,0.19852941176470595,3943.439306060606
violin,attack,12,32,0.047429008898820665,0.0558963497787457,0.1229445632815718,0.11188645486984022,0.016949152542372815,0.196969696969697,3963.993784375
RealPiano_1_1,late,1,289,0.0037591163736038226,0.0031292710534099,0.010820808095144,0.7999321363640172,0.6004842615012106,0.9987893462469735,327.1398227681661
cello,late,1,65,0.5495457862664156,0.626715935389651,0.9419165894410876,0.8008763362427779,0.6029411764705883,1.0,328.82368846153844
violin,late,1,66,0.20523088123989458,0.14837870324026764,0.6377423522882267,0.7843848836266321,0.6060606060606061,1.0,330.790175
RealPiano_1_1,late,2,285,0.0008076042162319189,0.0006127307269933,0.00265161736364,0.7875323902977783,0.6004842615012106,0.9987893462469735,657.4778482105263
cello,late,2,75,0.15736404087816822,0.2108548978601636,0.3846125445087064,0.8005566270223936,0.6029411764705883,1.0,657.7206044
violin,late,2,66,0.10758071631289497,0.05435828944484135,0.3736002335740084,0.7842640581469549,0.6060606060606061,1.0,661.3287115151516
RealPiano_1_1,late,3,110,0.00018732766923328174,0.0001826991378323,0.000324695121737,0.784932863746423,0.6004842615012106,1.0,983.5006709090909
cello,late,3,83,0.16628962631955316,0.2276521522875181,0.3905788328244964,0.8065461782843364,0.6029411764705883,1.0,983.0165063855422
violin,late,3,63,0.17789238591578807,0.0489553902476311,0.8234932764742914,0.7823451369392493,0.6060606060606061,1.0,992.8983999999999
RealPiano_1_1,late,4,115,0.00016377810493073018,0.0001581205432829,0.000318729119431,0.7992420254763659,0.6004842615012106,0.9939467312348668,1313.0164573913044
cello,late,4,78,0.10284416972314869,0.128218192370967,0.2176983541956062,0.7947203471552555,0.6029411764705883,1.0,1316.129237179487
violin,late,4,67,0.061500277103388165,0.0331109582301469,0.1978736378027873,0.789897523976904,0.6060606060606061,1.0,1322.2077417910448
RealPiano_1_1,late,5,96,0.0001529031866968064,0.0001407088590874,0.000544546267652,0.7916918886198547,0.6004842615012106,1.0,1642.1487458333334
cello,late,5,58,0.04542262784291563,0.03622034926922385,0.1193122090461046,0.7579618761014865,0.6029411764705883,1.0,1639.6953568965519
violin,late,5,45,0.03443246282784589,0.0191067452600891,0.1259000719361072,0.7775134635081111,0.6060606060606061,1.0,1654.1635199999998
RealPiano_1_1,late,6,138,0.0001299322879096905,0.0001245098867188,0.0002503393937775,0.802426571218023,0.62590799031477,0.9975786924939467,1970.8922050724639
cello,late,6,50,0.11924712915556114,0.12684373482963684,0.186472216732443,0.7420732883317261,0.6029411764705883,1.0,1969.4437580000001
violin,late,6,59,0.03433765956462125,0.0072672234060447,0.1950813332011133,0.7742658139171542,0.6060606060606061,1.0,1983.795613559322
RealPiano_1_1,late,7,166,0.0001327676287564482,0.00012778861117995,0.0003822438632644,0.8028311794393068,0.6004842615012106,0.9987893462469735,2299.327931927711
cello,late,7,55,0.0560139214369356,0.0419248353038803,0.1488589048822718,0.7425528184448147,0.6029411764705883,0.9044117647058822,2303.830750909091
violin,late,7,33,0.07316014597465885,0.0333676965421694,0.2753132496684088,0.7778945074784829,0.6060606060606061,1.0,2311.8017727272727
RealPiano_1_1,late,8,158,0.00011657159358404512,0.0001113123097255,0.0002437130473212,0.7962806877739296,0.6101694915254237,1.0,2625.835136708861
cello,late,8,40,0.022264644256876073,0.0195722914545386,0.0522300479625793,0.7553248553519769,0.6029411764705883,0.9044117647058822,2626.4124325000003
violin,late,8,39,0.006220158169645077,0.0023502695494321,0.0328886144499928,0.7829797321322746,0.6060606060606061,0.9830508474576273,2645.9261512820513
RealPiano_1_1,late,9,153,0.00011541923191405106,0.0001090544610907,0.0003655326139117,0.7961907927012614,0.6101694915254237,0.9975786924939467,2957.011551633987
cello,late,9,40,0.026470409756152547,0.0174866388693527,0.0678981516069178,0.7372739874638381,0.6029411764705883,0.8970588235294117,2956.9461975000004
violin,late,9,25,0.014832171985288585,0.0157184245133902,0.0428496390167943,0.7575552131484335,0.6060606060606061,1.0,2967.623356
RealPiano_1_1,late,10,170,0.00011112716156597751,0.0001050429590809,0.0004357109985224,0.799380430138157,0.6004842615012106,1.0,3283.578474705882
