expected_note,root_hz,harmonic_index,theoretical_hz,theoretical_token,lower_hz_tolerance,upper_hz_tolerance,lower_token_tolerance,upper_token_tolerance
5.A-,27.5,1,27.5,5.A'-,26.975577410895163,28.034617701808983,5.A'a5,5.A'i5
5.A-,27.5,2,55.0,6.A'-,53.951154821790325,56.06923540361797,6.A'a5,6.A'i5
5.A-,27.5,3,82.5,7.5'-,80.92673223268548,84.10385310542695,7.5'a5,7.5'i5
5.A-,27.5,4,110.0,7.A'-,107.90230964358065,112.13847080723593,7.A'a5,7.A'i5
5.A-,27.5,5,137.5,8.2'a3,134.87788705447582,140.1730885090449,8.2'a7,8.2'i3
5.A-,27.5,6,165.0,8.5'-,161.85346446537096,168.2077062108539,8.5'a5,8.5'i5
5.A-,27.5,7,192.5,8.8'a5,188.82904187626613,196.24232391266287,8.7'i5,8.8'-
5.A-,27.5,8,220.0,8.A'-,215.8046192871613,224.27694161447187,8.A'a5,8.A'i5
5.A-,27.5,9,247.5,8.C'-,242.78019669805647,252.31155931628084,8.C'a5,8.C'i5
5.A-,27.5,10,275.0,9.2'a3,269.75577410895164,280.3461770180898,9.2'a7,9.2'i3
5.A-,27.5,11,302.5,9.4'a7,296.7313515198468,308.3807947198988,9.3'i3,9.4'a3
5.A-,27.5,12,330.0,9.5'-,323.7069289307419,336.4154124217078,9.5'a5,9.5'i5
5.B-,29.13523509488062,1,29.13523509488062,5.B'-,28.579628715875696,29.70164281953842,5.B'a5,5.B'i5
5.B-,29.13523509488062,2,58.27047018976124,6.B'-,57.15925743175139,59.40328563907684,6.B'a5,6.B'i5
5.B-,29.13523509488062,3,87.40570528464187,7.6'-,85.7388861476271,89.10492845861526,7.6'a5,7.6'i5
5.B-,29.13523509488062,4,116.54094037952248,7.B'-,114.31851486350278,118.80657127815368,7.B'a5,7.B'i5
5.B-,29.13523509488062,5,145.6761754744031,8.3'a3,142.89814357937848,148.5082140976921,8.3'a7,8.3'i3
5.B-,29.13523509488062,6,174.81141056928374,8.6'-,171.4777722952542,178.20985691723052,8.6'a5,8.6'i5
5.B-,29.13523509488062,7,203.94664566416435,8.9'a5,200.05740101112988,207.91149973676895,8.8'i5,8.9'-
5.B-,29.13523509488062,8,233.08188075904496,8.B'-,228.63702972700557,237.61314255630737,8.B'a5,8.B'i5
5.B-,29.13523509488062,9,262.2171158539256,9.1'-,257.2166584428812,267.31478537584576,9.1'a5,9.1'i5
5.B-,29.13523509488062,10,291.3523509488062,9.3'a3,285.79628715875697,297.0164281953842,9.3'a7,9.3'i3
5.B-,29.13523509488062,11,320.4875860436868,9.5'a7,314.37591587463265,326.7180710149226,9.4'i3,9.5'a3
5.B-,29.13523509488062,12,349.6228211385675,9.6'-,342.9555445905084,356.41971383446105,9.6'a5,9.6'i5
5.C-,30.86770632850775,1,30.86770632850775,5.C'-,30.279061874961428,31.467794409142712,5.C'a5,5.C'i5
5.C-,30.86770632850775,2,61.7354126570155,6.C'-,60.558123749922856,62.935588818285424,6.C'a5,6.C'i5
5.C-,30.86770632850775,3,92.60311898552325,7.7'-,90.83718562488428,94.40338322742814,7.7'a5,7.7'i5
5.C-,30.86770632850775,4,123.470825314031,7.C'-,121.11624749984571,125.87117763657085,7.C'a5,7.C'i5
5.C-,30.86770632850775,5,154.33853164253875,8.4'a3,151.39530937480714,157.33897204571355,8.4'a7,8.4'i3
5.C-,30.86770632850775,6,185.2062379710465,8.7'-,181.67437124976857,188.80676645485627,8.7'a5,8.7'i5
5.C-,30.86770632850775,7,216.07394429955426,8.A'a5,211.95343312473,220.27456086399897,8.9'i5,8.A'-
5.C-,30.86770632850775,8,246.941650628062,8.C'-,242.23249499969143,251.7423552731417,8.C'a5,8.C'i5
5.C-,30.86770632850775,9,277.8093569565698,9.2'-,272.5115568746529,283.21014968228445,9.2'a5,9.2'i5
5.C-,30.86770632850775,10,308.6770632850775,9.4'a3,302.7906187496143,314.6779440914271,9.4'a7,9.4'i3
5.C-,30.86770632850775,11,339.54476961358523,9.6'a7,333.0696806245757,346.1457385005698,9.5'i3,9.6'a3
5.C-,30.86770632850775,12,370.412475942093,9.7'-,363.34874249953714,377.61353290971255,9.7'a5,9.7'i5
6.1-,32.70319566257483,1,32.70319566257483,6.1'-,32.07954858834321,33.338966837372475,6.1'a5,6.1'i5
6.1-,32.70319566257483,2,65.40639132514966,7.1'-,64.15909717668642,66.67793367474495,7.1'a5,7.1'i5
6.1-,32.70319566257483,3,98.10958698772448,7.8'-,96.23864576502962,100.01690051211742,7.8'a5,7.8'i5
6.1-,32.70319566257483,4,130.8127826502993,8.1'-,128.31819435337283,133.3558673494899,8.1'a5,8.1'i5
6.1-,32.70319566257483,5,163.51597831287415,8.5'a3,160.39774294171605,166.69483418686238,8.5'a7,8.5'i3
6.1-,32.70319566257483,6,196.21917397544897,8.8'-,192.47729153005923,200.03380102423483,8.8'a5,8.8'i5
6.1-,32.70319566257483,7,228.92236963802378,8.B'a5,224.55684011840242,233.3727678616073,8.A'i5,8.B'-
6.1-,32.70319566257483,8,261.6255653005986,9.1'-,256.63638870674566,266.7117346989798,9.1'a5,9.1'i5
6.1-,32.70319566257483,9,294.32876096317347,9.3'-,288.71593729508885,300.0507015363523,9.3'a5,9.3'i5
6.1-,32.70319566257483,10,327.0319566257483,9.5'a3,320.7954858834321,333.38966837372476,9.5'a7,9.5'i3
6.1-,32.70319566257483,11,359.7351522883231,9.7'a7,352.8750344717753,366.7286352110972,9.6'i3,9.7'a3
6.1-,32.70319566257483,12,392.43834795089793,9.8'-,384.95458306011847,400.06760204846967,9.8'a5,9.8'i5
6.2-,34.64782887210901,1,34.64782887210901,6.2'-,33.987097813055456,35.32140496826457,6.2'a5,6.2'i5
6.2-,34.64782887210901,2,69.29565774421802,7.2'-,67.97419562611091,70.64280993652913,7.2'a5,7.2'i5
6.2-,34.64782887210901,3,103.94348661632702,7.9'-,101.96129343916635,105.96421490479369,7.9'a5,7.9'i5
6.2-,34.64782887210901,4,138.59131548843604,8.2'-,135.94839125222182,141.28561987305827,8.2'a5,8.2'i5
6.2-,34.64782887210901,5,173.23914436054505,8.6'a3,169.93548906527727,176.60702484132284,8.6'a7,8.6'i3
6.2-,34.64782887210901,6,207.88697323265404,8.9'-,203.9225868783327,211.92842980958739,8.9'a5,8.9'i5
6.2-,34.64782887210901,7,242.53480210476306,8.C'a5,237.90968469138818,247.24983477785196,8.B'i5,8.C'-
6.2-,34.64782887210901,8,277.1826309768721,9.2'-,271.89678250444365,282.57123974611653,9.2'a5,9.2'i5
6.2-,34.64782887210901,9,311.8304598489811,9.4'-,305.8838803174991,317.8926447143811,9.4'a5,9.4'i5
6.2-,34.64782887210901,10,346.4782887210901,9.6'a3,339.87097813055453,353.2140496826457,9.6'a7,9.6'i3
6.2-,34.64782887210901,11,381.1261175931991,9.8'a7,373.85807594361,388.53545465091025,9.7'i3,9.8'a3
6.2-,34.64782887210901,12,415.7739464653081,9.9'-,407.8451737566654,423.85685961917477,9.9'a5,9.9'i5
6.3-,36.70809598967594,1,36.70809598967594,6.3'-,36.00807581731176,37.42172500479536,6.3'a5,6.3'i5
6.3-,36.70809598967594,2,73.41619197935188,7.3'-,72.01615163462353,74.84345000959073,7.3'a5,7.3'i5
6.3-,36.70809598967594,3,110.12428796902782,7.A'-,108.0242274519353,112.26517501438609,7.A'a5,7.A'i5
6.3-,36.70809598967594,4,146.83238395870376,8.3'-,144.03230326924705,149.68690001918145,8.3'a5,8.3'i5
6.3-,36.70809598967594,5,183.5404799483797,8.7'a3,180.04037908655883,187.1086250239768,8.7'a7,8.7'i3
6.3-,36.70809598967594,6,220.24857593805564,8.A'-,216.0484549038706,224.53035002877218,8.A'a5,8.A'i5
6.3-,36.70809598967594,7,256.9566719277316,9.1'a5,252.05653072118236,261.95207503356755,8.C'i5,9.1'-
6.3-,36.70809598967594,8,293.6647679174075,9.3'-,288.0646065384941,299.3738000383629,9.3'a5,9.3'i5
6.3-,36.70809598967594,9,330.37286390708346,9.5'-,324.0726823558059,336.79552504315825,9.5'a5,9.5'i5
6.3-,36.70809598967594,10,367.0809598967594,9.7'a3,360.08075817311766,374.2172500479536,9.7'a7,9.7'i3
6.3-,36.70809598967594,11,403.78905588643534,9.9'a7,396.0888339904294,411.63897505274895,9.8'i3,9.9'a3
6.3-,36.70809598967594,12,440.4971518761113,9.A'-,432.0969098077412,449.06070005754435,9.A'a5,9.A'i5
6.4-,38.890872965260115,1,38.890872965260115,6.4'-,38.14922742733324,39.64693656984311,6.4'a5,6.4'i5
6.4-,38.890872965260115,2,77.78174593052023,7.4'-,76.29845485466647,79.29387313968623,7.4'a5,7.4'i5
6.4-,38.890872965260115,3,116.67261889578035,7.B'-,114.44768228199972,118.94080970952935,7.B'a5,7.B'i5
6.4-,38.890872965260115,4,155.56349186104046,8.4'-,152.59690970933295,158.58774627937245,8.4'a5,8.4'i5
6.4-,38.890872965260115,5,194.45436482630058,8.8'a3,190.7461371366662,198.23468284921557,8.8'a7,8.8'i3
6.4-,38.890872965260115,6,233.3452377915607,8.B'-,228.89536456399944,237.8816194190587,8.B'a5,8.B'i5
6.4-,38.890872965260115,7,272.23611075682084,9.2'a5,267.0445919913327,277.5285559889018,9.1'i5,9.2'-
6.4-,38.890872965260115,8,311.1269837220809,9.4'-,305.1938194186659,317.1754925587449,9.4'a5,9.4'i5
6.4-,38.890872965260115,9,350.017856687341,9.6'-,343.34304684599914,356.822429128588,9.6'a5,9.6'i5
6.4-,38.890872965260115,10,388.90872965260115,9.8'a3,381.4922742733324,396.46936569843115,9.8'a7,9.8'i3
6.4-,38.890872965260115,11,427.7996026178613,9.A'a7,419.6415017006657,436.1163022682743,9.9'i3,9.A'a3
6.4-,38.890872965260115,12,466.6904755831214,9.B'-,457.7907291279989,475.7632388381174,9.B'a5,9.B'i5
6.5-,41.20344461410875,1,41.20344461410875,6.5'-,40.41769853757898,42.00446610015269,6.5'a5,6.5'i5
6.5-,41.20344461410875,2,82.4068892282175,7.5'-,80.83539707515796,84.00893220030538,7.5'a5,7.5'i5
6.5-,41.20344461410875,3,123.61033384232624,7.C'-,121.25309561273693,126.01339830045808,7.C'a5,7.C'i5
6.5-,41.20344461410875,4,164.813778456435,8.5'-,161.6707941503159,168.01786440061076,8.5'a5,8.5'i5
6.5-,41.20344461410875,5,206.01722307054374,8.9'a3,202.08849268789487,210.02233050076347,8.9'a7,8.9'i3
6.5-,41.20344461410875,6,247.22066768465248,8.C'-,242.50619122547386,252.02679660091616,8.C'a5,8.C'i5
6.5-,41.20344461410875,7,288.4241122987612,9.3'a5,282.9238897630528,294.03126270106884,9.2'i5,9.3'-
6.5-,41.20344461410875,8,329.62755691287,9.5'-,323.3415883006318,336.0357288012215,9.5'a5,9.5'i5
